0
credit_score_proxy
credit_band
avg_shortfall_per_emi
partial_payment_rate
avg_balance
avg_balance_volatility
avg_cash_flow_ratio
volatility_to_balance_ratio
cash_flow_score
stress_score
max_spending_shocks
missed_bills
channel_risk_score
product_risk_score
employment_score
city_tier_encoded
income_k
approved_count
